,County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
0,Albany,Albany City PD,2019,12.0,3661.0,735.0,4.0,61.0,189.0,481.0,2926.0,446.0,2321.0,159.0,Non-New York City
1,Albany,Albany County Park PD,2019,12.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,Non-New York City
2,Albany,Albany County Sheriff,2019,12.0,148.0,25.0,1.0,4.0,1.0,19.0,123.0,22.0,91.0,10.0,Non-New York City
3,Albany,Albany County State Police,2019,12.0,150.0,30.0,0.0,22.0,3.0,5.0,120.0,3.0,116.0,1.0,Non-New York City
4,Albany,Altamont Vg PD,2019,12.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,Non-New York City
5,Albany,Bethlehem Town PD,2019,12.0,467.0,29.0,0.0,11.0,2.0,16.0,438.0,41.0,391.0,6.0,Non-New York City
6,Albany,Coeymans Town PD,2019,12.0,88.0,17.0,0.0,2.0,1.0,14.0,71.0,4.0,65.0,2.0,Non-New York City
7,Albany,Cohoes City PD,2019,12.0,190.0,37.0,2.0,5.0,3.0,27.0,153.0,14.0,127.0,12.0,Non-New York City
8,Albany,Colonie Town PD,2019,12.0,1932.0,62.0,0.0,10.0,19.0,33.0,1870.0,120.0,1716.0,34.0,Non-New York City
9,Albany,County Total,2019,,8025.0,1017.0,8.0,129.0,235.0,645.0,7008.0,754.0,6009.0,245.0,Non-New York City
10,Albany,Green Island Vg PD,2019,9.0,28.0,3.0,0.0,0.0,0.0,3.0,25.0,4.0,21.0,0.0,Non-New York City
11,Albany,Guilderland Town PD,2019,12.0,868.0,24.0,1.0,5.0,9.0,9.0,844.0,51.0,788.0,5.0,Non-New York City
12,Albany,Menands Vg PD,2019,12.0,96.0,4.0,0.0,0.0,1.0,3.0,92.0,14.0,74.0,4.0,Non-New York City
13,Albany,SUNY Police - Albany,2019,12.0,141.0,6.0,0.0,4.0,0.0,2.0,135.0,9.0,125.0,1.0,Non-New York City
14,Albany,SUNY Police - Nanoscale Science and Engineering,2019,12.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,Non-New York City
15,Albany,Watervliet City PD,2019,12.0,242.0,44.0,0.0,5.0,7.0,32.0,198.0,25.0,162.0,11.0,Non-New York City
16,Allegany,Alfred Vg PD,2019,12.0,24.0,1.0,0.0,0.0,0.0,1.0,23.0,5.0,18.0,0.0,Non-New York City
